OS: macOS 11.0 Beta (20A5395g)

	PS. 測了不知道多少次，只成功過 3,4次

Timestamp                       Thread     Type        Activity             PID    TTL  
2020-10-19 17:53:26.211719+0800 0x3daf     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][Driver] NewUserClient
2020-10-19 17:53:26.211909+0800 0x3daf     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][UserClient] init success.
2020-10-19 17:53:26.211913+0800 0x3daf     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][UserClient] Start
2020-10-19 17:53:26.211953+0800 0x3daf     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][Device] init
2020-10-19 17:53:26.211992+0800 0x3daf     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][Device] handleStart
2020-10-19 17:53:26.211995+0800 0x3daf     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][Device] newDeviceDescription
2020-10-19 17:53:26.212013+0800 0x3daf     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][Device] newReportDescriptor size = 34
2020-10-19 17:53:26.212094+0800 0x3daf     Default     0x0                  0      0    kernel: (IOHIDFamily) SoftFido2Device:0x100000719 start (state:0x0)
2020-10-19 17:53:26.212096+0800 0x3daf     Info        0x0                  0      0    kernel: (IOHIDFamily) SoftFido2Device:0x100000719 start
2020-10-19 17:53:26.212135+0800 0x3daf     Default     0x0                  0      0    kernel: (IOHIDFamily) [ElementContainer] Element value capacity 300
2020-10-19 17:53:26.212139+0800 0x3daf     Default     0x0                  0      0    kernel: (IOHIDFamily) [ElementContainer] Report count: 1
2020-10-19 17:53:26.212141+0800 0x3daf     Default     0x0                  0      0    kernel: (IOHIDFamily) [ElementContainer] Report ID: 0 input:512 output:512 feature:0
2020-10-19 17:53:26.212438+0800 0x3daf     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][UserClient] IODMACommand::Create Success
2020-10-19 17:53:26.212459+0800 0x3daf     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][UserClient] --- Start ---
2020-10-19 17:53:26.212465+0800 0x3daf     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][Driver] UserClient is created
2020-10-19 17:53:26.213110+0800 0x44d9     Debug       0x0                  0      0    kernel: (IOHIDFamily) SoftFido2Device:0x100000719 creating interfaces
2020-10-19 17:53:26.214361+0800 0x3daf     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][UserClient] -------------<ExternalMethod>-------------
2020-10-19 17:53:26.214391+0800 0x3daf     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][UserClient] ExternalMethod selector = 1
2020-10-19 17:53:26.214396+0800 0x3daf     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][UserClient] <<<<<<< NotifyFrame(Async) >>>>>>>
2020-10-19 17:54:38.978168+0800 0xe15      Debug       0x0                  0      0    kernel: (IOHIDFamily) SoftFido2Device:0x100000719 new user client
2020-10-19 17:54:38.978184+0800 0xe15      Info        0x0                  0      0    kernel: (IOHIDFamily) IOHIDLibUserClient:0x0 [Safari] Entitlements 0 privilegedClient : No
2020-10-19 17:54:38.978205+0800 0xe15      Info        0x0                  0      0    kernel: (IOHIDFamily) IOHIDLibUserClient:0x10000071f start
2020-10-19 17:54:38.978257+0800 0x70       Info        0x0                  0      0    kernel: (IOHIDFamily) IOHIDLibUserClient:0x10000071f resourceNotificationGated client not privileged
2020-10-19 17:54:38.978265+0800 0x70       Info        0x0                  0      0    kernel: (IOHIDFamily) IOHIDLibUserClient:0x10000071f setValid: from false to true
2020-10-19 17:54:38.978267+0800 0x70       Debug       0x0                  0      0    kernel: (IOHIDFamily) IOHIDLibUserClient:0x10000071f setStateForQueues: 0x0
2020-10-19 17:54:38.978271+0800 0xe15      Info        0x0                  0      0    kernel: (IOHIDFamily) IOHIDLibUserClient:0x10000071f open
2020-10-19 17:54:38.978273+0800 0xe15      Info        0x0                  0      0    kernel: (IOHIDFamily) IOHIDLibUserClient:0x10000071f open client not privileged
2020-10-19 17:54:38.978284+0800 0xe15      Debug       0x0                  0      0    kernel: (IOHIDFamily) SoftFido2Device:0x100000719 open by IOHIDLibUserClient 0x10000071f (0x0)
2020-10-19 17:54:38.978296+0800 0xe15      Info        0x0                  0      0    kernel: (IOHIDFamily) IOHIDLibUserClient:0x10000071f resourceNotificationGated client not privileged
2020-10-19 17:54:38.978299+0800 0xe15      Info        0x0                  0      0    kernel: (IOHIDFamily) IOHIDLibUserClient:0x10000071f setValid: from true to true
2020-10-19 17:54:38.978360+0800 0xe15      Info        0x0                  0      0    kernel: (IOHIDFamily) IOHIDLibUserClient:0x10000071f open
2020-10-19 17:54:38.978361+0800 0xe15      Info        0x0                  0      0    kernel: (IOHIDFamily) IOHIDLibUserClient:0x10000071f open client not privileged
2020-10-19 17:54:38.978368+0800 0xe15      Debug       0x0                  0      0    kernel: (IOHIDFamily) SoftFido2Device:0x100000719 open by IOHIDLibUserClient 0x10000071f (0x0)
2020-10-19 17:54:38.978370+0800 0xe15      Default     0x0                  0      0    kernel: (IOHIDFamily) SoftFido2Device:0x100000719 multiple opens from client 0x10000071f
2020-10-19 17:54:38.978373+0800 0xe15      Info        0x0                  0      0    kernel: (IOHIDFamily) IOHIDLibUserClient:0x10000071f resourceNotificationGated client not privileged
2020-10-19 17:54:38.978376+0800 0xe15      Info        0x0                  0      0    kernel: (IOHIDFamily) IOHIDLibUserClient:0x10000071f setValid: from true to true
2020-10-19 17:54:38.978503+0800 0xe15      Debug       0x0                  0      0    kernel: (IOHIDFamily) IOHIDLibUserClient:0x10000071f startQueue

					<<< MakeCredential (Start) >>>

2020-10-19 17:54:38.978782+0800 0x3daf     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][Device] ----------------------- 0 ----------------------
2020-10-19 17:54:38.978785+0800 0x3daf     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][Device] setReport (Output)
2020-10-19 17:54:38.978795+0800 0x3daf     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][UserClient] frameReceived Report = 0x60000242c178
2020-10-19 17:54:38.978814+0800 0x3daf     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][UserClient] dmaCmd->PrepareForDMA flags = 2
2020-10-19 17:54:38.978817+0800 0x3daf     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][UserClient] dmaCmd->PrepareForDMA SegmentCount = 1
2020-10-19 17:54:38.978820+0800 0x3daf     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][UserClient] dmaCmd->PrepareForDMA segments.address = 7536764
2020-10-19 17:54:38.978822+0800 0x3daf     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][UserClient] dmaCmd->PrepareForDMA segments.length = 64
2020-10-19 17:54:38.978831+0800 0x3daf     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][UserClient] dmaCmd->GetPreparation ret = 0
2020-10-19 17:54:38.978862+0800 0x3daf     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][UserClient] outMemMap CreateMapping address = 4314284156
2020-10-19 17:54:38.978865+0800 0x3daf     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][UserClient] outMemMap CreateMapping length = 64
2020-10-19 17:54:38.978878+0800 0x3daf     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][UserClient] ff ff ff ff 86 00 08 b2 61 10 f0 29 2b e8 7c 00
2020-10-19 17:54:38.978884+0800 0x3daf     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][UserClient] 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
2020-10-19 17:54:38.978890+0800 0x3daf     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][UserClient] 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
2020-10-19 17:54:38.978896+0800 0x3daf     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][UserClient] 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
2020-10-19 17:54:38.978919+0800 0x3daf     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][UserClient] dmaCmd->CompleteDMA ret = 0
2020-10-19 17:54:38.978929+0800 0x3daf     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][UserClient] AsyncCompletion DataCount = 8
2020-10-19 17:54:38.978949+0800 0x3daf     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][Device]    IOSleep 1 ms
2020-10-19 17:54:38.980106+0800 0x3daf     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][Device]    CompleteReport
2020-10-19 17:54:38.980165+0800 0x4689     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][UserClient] -------------<ExternalMethod>-------------
2020-10-19 17:54:38.980175+0800 0x4689     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][UserClient] <<<<<<< SendFrame >>>>>>>
2020-10-19 17:54:38.980182+0800 0x4689     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][UserClient] ff ff ff ff 86 00 11 b2 61 10 f0 29 2b e8 7c 01
2020-10-19 17:54:38.980188+0800 0x4689     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][UserClient] 00 00 00 02 00 00 00 0d 00 00 00 00 00 00 00 00
2020-10-19 17:54:38.980194+0800 0x4689     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][UserClient] 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
2020-10-19 17:54:38.980200+0800 0x4689     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][UserClient] 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
2020-10-19 17:54:38.980280+0800 0x4689     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][UserClient] sendReport Length = 64
2020-10-19 17:54:38.980309+0800 0x4689     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][UserClient] sendReport > fido2Device->handleReport ✅
